#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         549           -0.240382           -0.430434           0.0173785
         550           -0.240382           -0.430088           0.0173504
         551           -0.240382           -0.429744           0.0173223
         552            -1.10529           -0.430968           0.0173341
         553            -1.10529           -0.432187           0.0173456
         554          -0.0582929           -0.431512           0.0173274
         555          -0.0582929            -0.43084           0.0173092
         556            -1.04706           -0.431948           0.0173135
         557            -1.04706           -0.433052           0.0173176
         558            -1.04706           -0.434153           0.0173215
         559           -0.378984           -0.434054           0.0172908
         560           -0.378984           -0.433956           0.0172602
         561           -0.378984           -0.433858           0.0172297
         562           -0.378984            -0.43376           0.0171994
         563           -0.378984           -0.433663           0.0171691
         564           -0.378984           -0.433566           0.0171389
         565           -0.378984           -0.433469           0.0171089
         566           -0.378984           -0.433373           0.0170789
         567           -0.378984           -0.433277            0.017049
         568           -0.323111           -0.433083           0.0170201
         569          -0.0336221           -0.432381           0.0170047
         570          -0.0336221           -0.431681           0.0169892
         571          -0.0336221           -0.430984           0.0169738
         572          -0.0336221           -0.430289           0.0169583
         573           -0.528325           -0.430461           0.0169296
         574           -0.528325           -0.430631            0.016901
         575           -0.528325           -0.430801           0.0168724
         576           -0.528325            -0.43097            0.016844
         577            -1.07397           -0.432085           0.0168516
         578            -1.07397           -0.433195            0.016859
         579            -1.10437           -0.434354           0.0168697
         580            -1.10437            -0.43551           0.0168801
         581            -1.08001           -0.436619           0.0168875
         582            -1.07968           -0.437724           0.0168946
         583          -0.0637049           -0.437082           0.0168778
         584             -1.1048           -0.438226           0.0168875
         585            -1.02144           -0.439223           0.0168881
         586            -1.07529           -0.440308           0.0168941
         587           -0.395118           -0.440231           0.0168655
         588           -0.395118           -0.440154            0.016837
         589           -0.395118           -0.440078           0.0168086
         590           -0.395118           -0.440002           0.0167803
         591           -0.395118           -0.439926            0.016752
         592           -0.395118            -0.43985           0.0167239
         593           -0.395118           -0.439775           0.0166959
         594           -0.395118           -0.439699           0.0166679
         595           -0.520292           -0.439835           0.0166405
         596           -0.303745           -0.439607           0.0166141
         597           -0.303745           -0.439379           0.0165879
         598           -0.165846           -0.438922           0.0165664
         599           -0.165846           -0.438466            0.016545
         600           -0.165846           -0.438011           0.0165237
         601           -0.165846           -0.437558           0.0165024
         602           -0.165846           -0.437107           0.0164812
         603           -0.165846           -0.436657             0.01646
         604           -0.165846           -0.436209           0.0164388
         605           -0.165846           -0.435762           0.0164177
         606           -0.590608           -0.436018           0.0163926
         607          -0.0143141           -0.435323           0.0163803
         608            -0.77824           -0.435887           0.0163631
         609            -0.77824           -0.436449           0.0163459
         610            -0.77824           -0.437009           0.0163287
         611            -0.77824           -0.437568           0.0163115
         612         -0.00951212           -0.436868           0.0162998
         613         -0.00951212           -0.436171           0.0162882
         614         -0.00951212           -0.435476           0.0162764
         615            -0.58937           -0.435727           0.0162519
         616           -0.140484           -0.435247           0.0162326
         617            -1.10529           -0.436333           0.0162426
