#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
            0.033472            0.858912            0.549946            -0.39415           0.0193148                0.72             1.02053
            0.033274            0.703025            0.545043           -0.383674           0.0188003                0.84           -0.126881
            0.033076            0.719721            0.541928           -0.378733           0.0185776                0.84           -0.199694
            0.032878            0.620004            0.542782           -0.383775           0.0188288                0.62             1.31548
             0.03268            0.924426            0.542718            -0.34057           0.0166896                0.86           -0.647302
            0.032482            0.605186            0.539838           -0.346602           0.0170796                0.82            0.773666
            0.032284            0.690149            0.537124             -0.3708           0.0181596                 0.9              0.9187
            0.032086            0.829006             0.53247           -0.384743           0.0189166                0.92            -1.14349
            0.031888            0.817983            0.535896           -0.381576           0.0187186                0.72            0.421274
             0.03169            0.732466            0.536594           -0.377329           0.0184784                0.36           -0.193307
            0.031492            0.854376            0.535143           -0.365639            0.017958                0.68            0.303478
            0.031294             0.62799            0.533122           -0.373079           0.0183454                0.58           -0.361424
            0.031096            0.957197            0.533157           -0.286962           0.0141546                0.82             1.49748
            0.030898            0.663472             0.53427           -0.334929           0.0164626                0.88            0.308235
              0.0307            0.950225            0.535074           -0.285467           0.0140823                0.78            0.748878
            0.030502            0.680321            0.530754            -0.34631           0.0170539                0.88            0.600492
            0.030304            0.917342            0.524058           -0.298167           0.0147566                0.82           -0.384847
            0.030106            0.822126             0.52548           -0.352244           0.0173229                0.72             0.48797
            0.029908            0.818719            0.524103           -0.362443           0.0178773                0.64            0.657597
             0.02971            0.917291            0.522457           -0.361385           0.0177465                0.62            -1.37171
            0.029512            0.621871            0.518336             -0.3012           0.0148231                0.78            0.719249
            0.029314            0.667539             0.51018           -0.301818           0.0149807                0.84            0.460462
            0.029116            0.612933            0.504876           -0.231983           0.0116438                0.46            0.292767
            0.028918            0.702855            0.507749           -0.346611           0.0170703                 0.7            -0.34402
             0.02872            0.750979             0.51193           -0.330464           0.0163805                0.56            -1.20815
            0.028522            0.828114            0.509667           -0.315156           0.0157221                 0.6           -0.638096
