#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         429        -0.000525675           -0.472551           0.0183531
         430        -0.000525675           -0.471453           0.0183432
         431         -0.00796285           -0.470378           0.0183321
         432         -0.00796285           -0.469307           0.0183209
         433           -0.782869           -0.470032           0.0182929
         434           -0.782869           -0.470752            0.018265
         435           -0.782869            -0.47147           0.0182371
         436           -0.782869           -0.472184           0.0182092
         437           -0.483252            -0.47221           0.0181676
         438           -0.676404           -0.472676           0.0181321
         439          0.00221878           -0.471594            0.018123
         440          0.00221878           -0.470517           0.0181138
         441           -0.301645           -0.470134           0.0180768
         442           -0.301645           -0.469753           0.0180399
         443           -0.301645           -0.469374           0.0180032
         444           -0.301645           -0.468996           0.0179666
         445             -1.0834           -0.470376           0.0179792
         446            -1.01869           -0.471606           0.0179808
         447            -1.01869            -0.47283           0.0179822
         448           -0.395594           -0.472657           0.0179429
         449           -0.395594           -0.472486           0.0179038
         450           -0.395594           -0.472315           0.0178648
         451           -0.973041           -0.473425           0.0178597
         452           -0.973041            -0.47453           0.0178543
         453            -1.07756           -0.475862           0.0178645
         454            -1.07756           -0.477187           0.0178742
         455           -0.371813           -0.476955           0.0178364
         456           -0.320627           -0.476613           0.0178006
         457           -0.320627           -0.476271           0.0177649
         458           -0.320627           -0.475931           0.0177294
         459           -0.320627           -0.475593            0.017694
         460           -0.320627           -0.475256           0.0176587
         461           -0.320627           -0.474921           0.0176236
         462           -0.320627           -0.474587           0.0175886
         463            -0.42832           -0.474487           0.0175509
         464           -0.580906           -0.474716           0.0175146
         465           -0.633308           -0.475057           0.0174802
         466           -0.611954           -0.475351           0.0174452
         467           -0.611954           -0.475644           0.0174103
         468          -0.0428207           -0.474719           0.0173976
         469           -0.132638           -0.473989           0.0173758
         470           -0.132638           -0.473263            0.017354
         471           -0.132638            -0.47254           0.0173323
         472           -0.132638            -0.47182           0.0173105
         473           -0.132638           -0.471103           0.0172887
         474            -1.02269           -0.472266           0.0172914
         475            -1.07969           -0.473545           0.0173022
         476            -1.07969           -0.474819           0.0173126
         477            -1.07969           -0.476087           0.0173227
         478            -1.07969           -0.477349           0.0173325
         479           -0.612559           -0.477632           0.0172986
         480           -0.818444           -0.478342           0.0172771
         481            -1.03887           -0.479507           0.0172804
         482          -0.0469889            -0.47861           0.0172679
         483           -0.118485           -0.477864           0.0172482
         484           -0.118485           -0.477122           0.0172285
         485           -0.118485           -0.476382           0.0172089
         486           -0.118485           -0.475646           0.0171892
         487           -0.118485           -0.474912           0.0171696
         488           -0.118485           -0.474182           0.0171499
         489           -0.118485           -0.473454           0.0171303
         490           -0.118485            -0.47273           0.0171106
         491           -0.190322           -0.472155           0.0170854
         492          -0.0645818           -0.471326           0.0170708
         493          -0.0645818           -0.470501           0.0170561
         494            -0.87548           -0.471321           0.0170412
         495            -0.87548           -0.472138           0.0170263
         496           -0.442546           -0.472078           0.0169921
         497           -0.442546           -0.472019            0.016958
         498           -0.442546           -0.471959           0.0169241
         499           -0.442546           -0.471901           0.0168903
         500           -0.829246           -0.472615           0.0168716
         501           -0.829246           -0.473327           0.0168529
         502           -0.829246           -0.474036           0.0168343
         503           -0.829246           -0.474742           0.0168156
         504           -0.829246           -0.475446            0.016797
         505           -0.829246           -0.476146           0.0167783
         506            -0.43228            -0.47606           0.0167454
         507           -0.175366           -0.475466           0.0167228
         508           -0.154071           -0.474834           0.0167019
         509           -0.154071           -0.474204            0.016681
         510           -0.154071           -0.473576           0.0166601
         511           -0.154071           -0.472951           0.0166392
         512           -0.363598           -0.472737            0.016608
         513           -0.586559           -0.472959           0.0165772
         514           -0.586559            -0.47318           0.0165464
         515           -0.586559             -0.4734           0.0165157
         516           -0.586559           -0.473619           0.0164852
         517           -0.586559           -0.473838           0.0164547
         518           -0.586559           -0.474055           0.0164244
         519           -0.586559           -0.474272           0.0163942
         520           -0.586559           -0.474488           0.0163641
         521           -0.586559           -0.474703           0.0163341
         522           -0.586559           -0.474918           0.0163042
